Cluster	Mass	RA	DEC	NMem	<RV>	ERV	R_Sun	R_GC		DM	V	M/L_V	DM/L	rc	"rh,m"	"rh,l"	rho_c	"rho_h,m"	lg Trh	MF	sig0	vesc	etac	etah
Name	[Msun]				[km/s]	[km/s]	[kpc]	[kpc]		[Msun]	[mag]	[Ms/Ls]	[Ms/Ls]	[pc]	[pc]	[pc]	[Ms/pc3]	[Ms/pc3]	[yr]	Slope	[km/s]	[km/s]		
NGC 4590	1.23E+05	189.86658	-26.74406	252	-93.2	0.2	10.59	10.6		1.25E+04	8.15   0.22	2.02	0.41	1.99	7.71	4.51	2.44	1.44	9.55	-1.04	3.7	14.1	-0.39	-0.09
NGC 4833	2.47E+05	194.89134	-70.8765	134	202	0.4	9	8.33		3.18E+04	6.91   0.20	0.84	0.19	2.34	9.04	6.75	2.6	1.65	9.63	-0.1	4.8	17.9	-0.28	-0.03
NGC 5024	3.80E+05	198.23021	18.16816	273	-63.1	0.2	17.9	18.56		3.61E+04	7.71   0.10	1.59	0.2	2.16	9.92	6.23	2.81	1.63	9.92	-1.1	5.9	22.4	-0.32	-0.03
NGC 5053	5.66E+04	199.11288	17.70025	56	42.5	0.2	17.2	17.8		1.33E+04	7.71   0.10	1.66	0.5	11	19.01	13.41	0.32	0.04	10	-1.11	1.6	5.3	-0.1	-0.07
NGC 5139	3.55E+06	201.69684	-47.47958	5096	232.7	0.2	5.2	6.74		3.32E+04	3.53   0.11	2.9	0.27	4.22	10.04	7.04	3.22	2.44	10.39	0	17.6	62.1	-0.08	-0.03
NGC 5272	3.94E+05	205.54842	28.37728	731	-147.2	0.2	10.06	12.19		2.32E+04	6.40   0.16	1.56	0.22	1.04	5.44	3.36	3.8	2.42	9.47	-0.75	8.1	31.7	-0.39	-0.08
NGC 5286	4.01E+05	206.61171	-51.37425	1024	62.2	0.4	11.7	8.9		1.94E+04	7.20   0.12	1.41	0.14	0.77	4.26	2.64	4.12	2.79	9.3	-0.67	9.3	36	-0.39	-0.11
NGC 5466	4.56E+04	211.36371	28.53445	84	106.9	0.1	16.9	17.25		1.13E+04	9.46   0.30	1.13	0.39	8.16	15.68	10.72	0.57	0.2	9.83	-1.04	1.6	5.3	-0.16	-0.08
NGC 5634	2.13E+05	217.40512	-5.97642	49	-16.2	0.5	27.2	22.91		4.68E+04	9.65   0.27	2.32	0.74	0.88	7.5	4.69	4.22	2.11	9.56	-0.83	5.3	21.7	-0.35	-0.03
NGC 5694	3.83E+05	219.9012	-26.53894	89	-139.4	0.4	37.33	31.41		3.81E+04	10.02   0.14	2.78	0.32	0.04	5.93	3.31	6.65	2.39	9.53	-0.8	8.9	35.2	-0.37	-0.08
NGC 5824	7.79E+05	225.99429	-33.06822	191	-25.5	0.5	31.8	25.28		4.25E+04	8.83   0.19	2.3	0.34	0.08	6.74	3.74	6.54	2.5	9.78	-1.04	11.9	48.6	-0.39	-0.05
NGC 5897	2.03E+05	229.35208	-21.01028	241	101.2	0.2	13.43	8.01		2.13E+04	8.69   0.10	3.05	0.43	5.85	11.59	8.02	1.59	1.2	9.92	-1.17	3.9	13.2	-0.22	-0.08
NGC 5904	3.72E+05	229.63841	2.08103	889	53.8	0.2	7.5	6.44		6.33E+03	5.83   0.16	1.52	0.2	1.2	5.58	3.61	3.66	2.41	9.45	-0.52	7.7	29.9	-0.34	-0.08
